time msd[1][1] msd[1][2] msd[1][3] ave[1][atoms] msd[2][1] msd[2][2] msd[2][3] ave[2][atoms] 
5 0.0208938 0.01597 0.0164228 0.0177622 0.0173103 0.0160379 0.0168663 0.0167382 
10 0.0368508 0.0277478 0.0280816 0.0308934 0.0290158 0.0272352 0.0286316 0.0282942 
15 0.0515026 0.0378262 0.0396785 0.0430024 0.0405187 0.0375545 0.0401075 0.0393936 
20 0.0656523 0.0477664 0.0496385 0.0543524 0.0506513 0.0469282 0.0484423 0.0486739 
25 0.0771634 0.0562766 0.0598747 0.0644382 0.0606431 0.0565166 0.056184 0.0577813 
30 0.0899036 0.0648829 0.0685185 0.074435 0.0689802 0.065169 0.0637321 0.0659604 
35 0.100928 0.0729568 0.0771916 0.0836922 0.0792037 0.0745975 0.0714546 0.0750853 
40 0.111239 0.0823609 0.0863486 0.0933161 0.0874293 0.0830691 0.0780772 0.0828585 
45 0.120871 0.0918737 0.094997 0.10258 0.096621 0.092699 0.0861085 0.0918095 
50 0.131803 0.102352 0.102999 0.112385 0.104272 0.101804 0.0924007 0.0994922 
55 0.142074 0.112453 0.111263 0.12193 0.112319 0.109032 0.09816 0.106504 
60 0.155518 0.121955 0.119212 0.132228 0.121083 0.117528 0.104027 0.114213 
65 0.168277 0.131292 0.127242 0.14227 0.129343 0.126129 0.112131 0.122534 
70 0.181934 0.14098 0.135498 0.152804 0.137302 0.136177 0.119076 0.130852 
75 0.19724 0.151718 0.143138 0.164032 0.145405 0.145398 0.128983 0.139929 
80 0.212009 0.163399 0.152204 0.175871 0.153861 0.154768 0.139051 0.149227 
85 0.226616 0.174218 0.16173 0.187521 0.162688 0.16403 0.148809 0.158509 
90 0.239473 0.185194 0.172149 0.198939 0.171964 0.175102 0.15821 0.168426 
95 0.253122 0.194416 0.183144 0.210227 0.18049 0.183869 0.16714 0.177167 
100 0.26805 0.203626 0.192993 0.221556 0.191879 0.194507 0.175695 0.18736 
105 0.283265 0.214074 0.203653 0.233664 0.202701 0.204586 0.18501 0.197432 
110 0.297787 0.223544 0.214344 0.245225 0.214263 0.214099 0.192418 0.206927 
115 0.311546 0.233618 0.225 0.256722 0.225299 0.223728 0.201405 0.216811 
120 0.325184 0.246166 0.235678 0.269009 0.237206 0.234292 0.211836 0.227778 
125 0.339457 0.257602 0.247743 0.2816 0.249392 0.244823 0.223748 0.239321 
130 0.354725 0.269937 0.260086 0.294916 0.261567 0.256569 0.236001 0.251379 
135 0.369349 0.282073 0.271886 0.307769 0.27539 0.269249 0.249657 0.264765 
140 0.386344 0.295033 0.284067 0.321814 0.289387 0.281116 0.262846 0.277783 
145 0.403023 0.309466 0.297402 0.336631 0.305168 0.293328 0.275414 0.291304 
150 0.420892 0.324384 0.309981 0.351752 0.320922 0.307345 0.289054 0.305774 
155 0.437359 0.341412 0.322912 0.367228 0.336184 0.3227 0.302407 0.32043 
160 0.454289 0.35599 0.337927 0.382735 0.351976 0.337696 0.316226 0.335299 
165 0.4715 0.373191 0.352228 0.398973 0.367369 0.351863 0.330569 0.349934 
170 0.48902 0.389472 0.368218 0.41557 0.383968 0.366839 0.343107 0.364638 
175 0.508428 0.406224 0.386393 0.433681 0.401103 0.382696 0.356415 0.380072 
180 0.528115 0.423694 0.403545 0.451785 0.417486 0.398005 0.371051 0.395514 
185 0.547048 0.441346 0.420604 0.469666 0.435644 0.414651 0.387401 0.412566 
190 0.564958 0.459583 0.438949 0.48783 0.452749 0.433036 0.404218 0.430001 
195 0.584821 0.478304 0.458228 0.507118 0.471615 0.451882 0.421914 0.44847 
200 0.606377 0.497322 0.476075 0.526591 0.488804 0.469442 0.438975 0.46574 
205 0.628128 0.51742 0.494755 0.546768 0.507202 0.487145 0.456528 0.483625 
210 0.649869 0.536038 0.513772 0.56656 0.524872 0.505128 0.474293 0.501431 
215 0.669838 0.553947 0.531839 0.585208 0.541564 0.523499 0.493119 0.519394 
220 0.691856 0.571113 0.549503 0.604157 0.559904 0.542949 0.513542 0.538799 
225 0.71464 0.58845 0.56865 0.623913 0.579371 0.562468 0.532973 0.558271 
230 0.737694 0.606911 0.588273 0.644293 0.59965 0.5835 0.552265 0.578472 
235 0.760055 0.625744 0.60793 0.664576 0.619934 0.604976 0.571157 0.598689 
240 0.781922 0.64597 0.626825 0.684906 0.641976 0.626982 0.589901 0.619619 
245 0.80523 0.666705 0.646304 0.706079 0.664195 0.650185 0.609039 0.64114 
250 0.828703 0.688036 0.667268 0.728002 0.686435 0.673578 0.631092 0.663702 
255 0.851984 0.707405 0.68881 0.7494 0.708614 0.696251 0.653102 0.685989 
260 0.873863 0.727823 0.710204 0.77063 0.730293 0.719368 0.676968 0.708876 
265 0.898416 0.749768 0.731705 0.793296 0.752027 0.741422 0.700002 0.73115 
270 0.922474 0.77172 0.753791 0.815995 0.77409 0.762901 0.722691 0.753227 
275 0.947793 0.794791 0.776216 0.8396 0.796716 0.786291 0.746264 0.776424 
280 0.974864 0.820255 0.799885 0.865001 0.819846 0.808715 0.768295 0.798952 
285 1.00066 0.844181 0.823913 0.889586 0.842972 0.83258 0.790137 0.821896 
290 1.02622 0.867787 0.848496 0.914169 0.865374 0.857691 0.813748 0.845604 
295 1.05186 0.892789 0.872109 0.938919 0.887651 0.882745 0.839556 0.869984 
300 1.07906 0.918713 0.894879 0.964219 0.91147 0.909535 0.86481 0.895272 
305 1.10566 0.94595 0.917777 0.989795 0.935045 0.935235 0.889552 0.919944 
310 1.13289 0.973022 0.941131 1.01568 0.95954 0.961599 0.913349 0.944829 
315 1.15915 1.00094 0.965011 1.0417 0.984501 0.986685 0.937761 0.969649 
320 1.18497 1.02807 0.98992 1.06765 1.00829 1.01309 0.964952 0.995443 
325 1.2121 1.05463 1.01519 1.09397 1.03456 1.04069 0.992395 1.02255 
330 1.23893 1.08176 1.04187 1.12085 1.06069 1.06941 1.01971 1.04994 
335 1.26415 1.10783 1.06758 1.14652 1.088 1.09689 1.04786 1.07759 
340 1.28859 1.13441 1.09446 1.17249 1.1169 1.12426 1.07574 1.10563 
345 1.31369 1.16147 1.12206 1.19907 1.1453 1.15257 1.10383 1.1339 
350 1.34047 1.1892 1.15029 1.22665 1.17344 1.18014 1.13277 1.16211 
355 1.36826 1.21764 1.17825 1.25472 1.20243 1.20734 1.16226 1.19068 
360 1.39746 1.24736 1.2073 1.28404 1.23036 1.2362 1.19178 1.21945 
365 1.42911 1.27711 1.2385 1.3149 1.25849 1.26655 1.22089 1.24865 
370 1.45933 1.30615 1.27101 1.3455 1.28932 1.29628 1.25164 1.27908 
375 1.49029 1.33546 1.30303 1.37626 1.32017 1.32806 1.2818 1.31001 
380 1.52234 1.36584 1.33508 1.40775 1.35094 1.35986 1.31245 1.34108 
385 1.55422 1.39826 1.36628 1.43959 1.38018 1.39296 1.34323 1.37212 
390 1.58507 1.43129 1.39797 1.47144 1.41006 1.42392 1.37318 1.40239 
395 1.61635 1.46481 1.43143 1.5042 1.44197 1.45613 1.40486 1.43432 
400 1.64824 1.49705 1.46482 1.53671 1.47487 1.49035 1.43481 1.46667 
405 1.68131 1.52938 1.49898 1.56989 1.50765 1.52344 1.46487 1.49865 
410 1.71546 1.56234 1.53166 1.60315 1.54121 1.55628 1.49563 1.53104 
415 1.751 1.59498 1.56489 1.63696 1.5755 1.58874 1.52735 1.56386 
420 1.78577 1.62617 1.59864 1.67019 1.61013 1.62228 1.55926 1.59722 
425 1.81993 1.65921 1.63171 1.70362 1.64401 1.65541 1.59043 1.62995 
430 1.85312 1.69231 1.66568 1.73703 1.67853 1.68928 1.62156 1.66312 
435 1.88798 1.72516 1.69991 1.77101 1.71285 1.72342 1.65213 1.69613 
440 1.92229 1.76119 1.73522 1.80623 1.74738 1.75981 1.68512 1.73077 
445 1.95868 1.79759 1.77211 1.84279 1.78193 1.79528 1.71902 1.76541 
450 1.99368 1.83372 1.80931 1.87891 1.81697 1.82985 1.75374 1.80019 
455 2.03046 1.87123 1.8465 1.91606 1.85276 1.86465 1.7899 1.83577 
460 2.06939 1.90977 1.88416 1.95444 1.88823 1.90143 1.82681 1.87216 
465 2.10965 1.94965 1.92243 1.99391 1.92624 1.93805 1.86449 1.90959 
470 2.15132 1.98825 1.96225 2.03394 1.96267 1.97599 1.90283 1.94716 
475 2.19119 2.02603 2.00076 2.07266 2.00151 2.01403 1.94135 1.98563 
480 2.23109 2.06373 2.03905 2.11129 2.04027 2.0533 1.98132 2.02496 
485 2.27045 2.10115 2.07835 2.14998 2.08037 2.0929 2.02051 2.06459 
490 2.30905 2.14052 2.11682 2.1888 2.11976 2.13136 2.05986 2.10366 
495 2.34829 2.18001 2.15686 2.22839 2.16008 2.17179 2.09876 2.14354 
500 2.38723 2.22008 2.19685 2.26805 2.20131 2.2119 2.13933 2.18418 
505 2.42729 2.25904 2.23689 2.30774 2.24208 2.25334 2.18069 2.22537 
510 2.46792 2.29914 2.27746 2.34817 2.28268 2.29522 2.22289 2.26693 
515 2.50868 2.33884 2.31698 2.38816 2.32415 2.33648 2.26401 2.30821 
520 2.54963 2.37689 2.35708 2.42787 2.36525 2.377 2.30469 2.34898 
525 2.59075 2.41688 2.39595 2.46786 2.40589 2.41818 2.34653 2.3902 
530 2.63052 2.4582 2.43629 2.50833 2.44645 2.45846 2.38913 2.43134 
535 2.67165 2.49968 2.4764 2.54924 2.48765 2.49769 2.43159 2.47231 
540 2.71334 2.54117 2.51665 2.59039 2.53072 2.53764 2.47539 2.51458 
545 2.75637 2.58277 2.55704 2.63206 2.57351 2.57895 2.51775 2.55674 
550 2.80011 2.62388 2.59884 2.67428 2.61698 2.62102 2.56187 2.59996 
555 2.84313 2.66691 2.64066 2.7169 2.65957 2.66401 2.60418 2.64259 
560 2.889 2.7104 2.68457 2.76132 2.7031 2.70697 2.64541 2.68516 
565 2.93436 2.75249 2.72636 2.8044 2.74682 2.7522 2.68892 2.72931 
570 2.98246 2.7965 2.77025 2.84974 2.79049 2.79589 2.7328 2.77306 
575 3.02824 2.84111 2.81455 2.89463 2.83496 2.84053 2.77711 2.81753 
580 3.07266 2.88607 2.85921 2.93931 2.88092 2.88577 2.8228 2.86316 
585 3.11795 2.93187 2.90332 2.98438 2.92795 2.93327 2.86868 2.90996 
590 3.16576 2.97782 2.95034 3.0313 2.97664 2.98169 2.91575 2.95802 
595 3.21495 3.02319 2.99779 3.07864 3.0266 3.03078 2.96475 3.00738 
600 3.26411 3.06849 3.04526 3.12595 3.07653 3.07864 3.01391 3.05636 
605 3.31508 3.11472 3.09227 3.17402 3.12636 3.12655 3.06257 3.10516 
610 3.36774 3.16323 3.1415 3.22415 3.17622 3.17675 3.11155 3.15484 
615 3.42074 3.21219 3.19134 3.27476 3.22891 3.2269 3.1601 3.2053 
620 3.47693 3.26196 3.24151 3.3268 3.28041 3.27809 3.20858 3.25569 
625 3.53301 3.31458 3.29332 3.3803 3.33314 3.33019 3.25774 3.30702 
630 3.58928 3.36713 3.34399 3.43347 3.38604 3.38224 3.30688 3.35839 
635 3.6433 3.41867 3.39586 3.48594 3.43922 3.43506 3.35587 3.41005 
640 3.69887 3.47016 3.44785 3.53896 3.49277 3.48726 3.40774 3.46259 
645 3.75275 3.52124 3.4988 3.59093 3.54505 3.53961 3.45791 3.51419 
650 3.80896 3.57359 3.55012 3.64422 3.59546 3.59264 3.50943 3.56584 
655 3.86304 3.62415 3.60236 3.69652 3.64839 3.64776 3.56157 3.61924 
660 3.91803 3.67625 3.65567 3.74998 3.70217 3.70215 3.61478 3.67303 
665 3.97266 3.72691 3.70806 3.80254 3.75518 3.75644 3.67023 3.72728 
670 4.0282 3.77895 3.76076 3.85597 3.80947 3.81173 3.72597 3.78239 
675 4.0847 3.83208 3.81335 3.91004 3.86405 3.86724 3.78119 3.83749 
680 4.14288 3.88682 3.86641 3.96537 3.91922 3.9245 3.83569 3.89314 
685 4.20044 3.94304 3.92198 4.02182 3.97205 3.98007 3.89092 3.94768 
690 4.25782 3.99857 3.97713 4.07784 4.02645 4.03573 3.94739 4.00319 
695 4.31444 4.05359 4.03371 4.13391 4.08196 4.08922 4.00428 4.05849 
700 4.37285 4.11008 4.09022 4.19105 4.13679 4.14365 4.06109 4.11384 
705 4.43234 4.16765 4.147 4.249 4.19253 4.19935 4.11641 4.16943 
710 4.49308 4.22546 4.20306 4.3072 4.24787 4.25725 4.1747 4.22661 
715 4.55398 4.28217 4.2616 4.36592 4.30567 4.31402 4.2321 4.28393 
720 4.61525 4.33837 4.31991 4.42451 4.36311 4.37062 4.28984 4.34119 
725 4.68038 4.39559 4.3767 4.48422 4.42055 4.42727 4.34774 4.39852 
730 4.74513 4.45314 4.43333 4.54386 4.47657 4.48522 4.4046 4.45546 
735 4.81005 4.51126 4.4891 4.60347 4.5338 4.54317 4.46142 4.5128 
740 4.87427 4.56918 4.54599 4.66315 4.59227 4.60104 4.51948 4.57093 
745 4.9386 4.62888 4.60541 4.7243 4.64967 4.65763 4.57641 4.6279 
750 5.00326 4.68787 4.66294 4.78469 4.70927 4.71643 4.6337 4.68647 
755 5.06797 4.74849 4.72307 4.84651 4.76927 4.77589 4.69174 4.74564 
760 5.13677 4.80953 4.78383 4.91004 4.82964 4.83578 4.75229 4.8059 
765 5.20798 4.87139 4.84589 4.97509 4.89021 4.89575 4.81336 4.86644 
770 5.27701 4.93439 4.90593 5.03911 4.95143 4.95558 4.87372 4.92691 
775 5.34636 4.99523 4.96642 5.10267 5.01027 5.01634 4.93455 4.98705 
780 5.41685 5.05642 5.02775 5.16701 5.0698 5.07825 4.99617 5.04807 
785 5.48469 5.1177 5.08888 5.23042 5.13167 5.1406 5.05926 5.11051 
790 5.55247 5.17823 5.14981 5.2935 5.19584 5.20461 5.1224 5.17429 
795 5.62003 5.23795 5.21089 5.35629 5.26098 5.26965 5.18618 5.23894 
800 5.68787 5.29817 5.27223 5.41943 5.32475 5.33546 5.24922 5.30314 
805 5.75708 5.35934 5.33428 5.48356 5.38752 5.40121 5.31266 5.36713 
810 5.82578 5.41792 5.39644 5.54671 5.45275 5.46758 5.37876 5.43303 
815 5.89594 5.47773 5.45766 5.61044 5.51724 5.53396 5.44448 5.49856 
820 5.96543 5.53798 5.51792 5.67378 5.58357 5.59892 5.51006 5.56419 
825 6.03222 5.59814 5.57998 5.73678 5.64968 5.66434 5.57494 5.62965 
830 6.10039 5.66112 5.64507 5.80219 5.71521 5.73062 5.63984 5.69522 
835 6.17 5.7256 5.70949 5.86836 5.78237 5.79732 5.70625 5.76198 
840 6.23837 5.79164 5.77409 5.9347 5.84763 5.86492 5.77253 5.82836 
845 6.30788 5.85962 5.83845 6.00198 5.91496 5.93174 5.83952 5.89541 
850 6.37675 5.92671 5.90255 6.06867 5.98243 5.99896 5.90739 5.96293 
855 6.44601 5.99372 5.96844 6.13606 6.04906 6.06872 5.97456 6.03078 
860 6.51452 6.06005 6.03481 6.20313 6.11565 6.13882 6.04162 6.0987 
865 6.58706 6.12921 6.10068 6.27232 6.18175 6.20979 6.10962 6.16705 
870 6.65851 6.20017 6.16798 6.34222 6.24853 6.28162 6.17998 6.23671 
875 6.72928 6.27318 6.23696 6.41314 6.3167 6.3529 6.24983 6.30648 
880 6.80061 6.34562 6.30755 6.4846 6.38585 6.42507 6.32119 6.37737 
885 6.87248 6.41981 6.37942 6.55724 6.4562 6.4965 6.39186 6.44819 
890 6.94596 6.49177 6.45243 6.63005 6.52799 6.56889 6.46288 6.51992 
895 7.02099 6.56646 6.52713 6.70486 6.60113 6.64245 6.53481 6.5928 
900 7.09775 6.64087 6.60084 6.77982 6.67377 6.71716 6.60742 6.66612 
905 7.17113 6.71287 6.67581 6.85327 6.74635 6.79173 6.67846 6.73885 
910 7.24307 6.78719 6.74975 6.92667 6.81877 6.86793 6.75263 6.81311 
915 7.3165 6.86288 6.82273 7.0007 6.89035 6.94442 6.82507 6.88661 
920 7.38939 6.93939 6.89687 7.07521 6.96272 7.02027 6.89857 6.96052 
925 7.4645 7.0122 6.97114 7.14928 7.03729 7.09804 6.97261 7.03598 
930 7.53751 7.09083 7.04482 7.22439 7.1122 7.17484 7.04761 7.11155 
935 7.61226 7.16677 7.11984 7.29962 7.18718 7.25117 7.12145 7.1866 
940 7.68592 7.24126 7.19481 7.37399 7.26454 7.32739 7.19704 7.26299 
945 7.75865 7.31727 7.27007 7.44866 7.34029 7.40294 7.27148 7.33824 
950 7.83516 7.393 7.34474 7.5243 7.41736 7.47842 7.34507 7.41362 
955 7.91025 7.4689 7.42138 7.60018 7.49373 7.55426 7.4201 7.48937 
960 7.98775 7.54509 7.49731 7.67672 7.57204 7.63141 7.49478 7.56608 
965 8.06562 7.62051 7.57354 7.75322 7.65005 7.70906 7.57002 7.64305 
970 8.14219 7.69428 7.64992 7.8288 7.72718 7.78637 7.64494 7.71949 
975 8.22107 7.77057 7.72514 7.90559 7.80516 7.86402 7.72076 7.79665 
980 8.29964 7.84713 7.80148 7.98275 7.88375 7.94209 7.79934 7.87506 
985 8.37689 7.92441 7.87847 8.05992 7.96405 8.02129 7.87644 7.95393 
990 8.45426 8.00058 7.95465 8.1365 8.04379 8.09958 7.95344 8.03227 
995 8.53137 8.07659 8.03228 8.21341 8.12372 8.17877 8.02979 8.11076 
1000 8.61058 8.15361 8.11092 8.2917 8.20144 8.25689 8.10604 8.18812 
1005 8.69059 8.22991 8.18764 8.36938 8.27705 8.33227 8.18422 8.26451 
1010 8.76787 8.31056 8.26477 8.44773 8.35364 8.40894 8.262 8.34153 
1015 8.84017 8.38916 8.34166 8.52366 8.43126 8.48687 8.34097 8.4197 
1020 8.91252 8.46636 8.42156 8.60015 8.51109 8.5683 8.41881 8.4994 
1025 8.98588 8.54535 8.50399 8.67841 8.59041 8.65011 8.49928 8.57993 
1030 9.06028 8.62326 8.58608 8.75654 8.67032 8.73269 8.58081 8.66127 
1035 9.13652 8.70259 8.66692 8.83534 8.74984 8.81376 8.66204 8.74188 
1040 9.21095 8.7833 8.74995 8.91473 8.83032 8.89557 8.74398 8.82329 
1045 9.2861 8.86604 8.83213 8.99476 8.91108 8.9791 8.82568 8.90528 
1050 9.36224 8.94672 8.91465 9.07454 8.9924 9.06398 8.90821 8.9882 
1055 9.43692 9.02909 8.99693 9.15431 9.07421 9.14743 8.99127 9.07097 
1060 9.51371 9.11097 9.07908 9.23459 9.15754 9.23122 9.07292 9.15389 
1065 9.59268 9.19462 9.16093 9.31608 9.24105 9.31418 9.15439 9.23654 
1070 9.67197 9.27754 9.24364 9.39772 9.32497 9.39911 9.23636 9.32015 
1075 9.75252 9.36145 9.32585 9.47994 9.40882 9.48211 9.31995 9.40363 
1080 9.82992 9.44379 9.40811 9.56061 9.49252 9.56529 9.40363 9.48715 
1085 9.90704 9.52645 9.49043 9.64131 9.57705 9.64907 9.48743 9.57118 
1090 9.98423 9.61029 9.57445 9.72299 9.66293 9.7341 9.57397 9.657 
1095 10.0648 9.69152 9.65835 9.80487 9.74835 9.8195 9.65967 9.74251 
1100 10.146 9.77451 9.7447 9.8884 9.83431 9.90388 9.74624 9.82814 
1105 10.2291 9.85762 9.82917 9.97198 9.92055 9.98997 9.83509 9.9152 
1110 10.3136 9.94264 9.91418 10.0568 10.0067 10.0766 9.92219 10.0018 
1115 10.3985 10.0286 10.0047 10.1439 10.095 10.1629 10.009 10.089 
1120 10.4825 10.1146 10.0933 10.2301 10.1844 10.2517 10.0957 10.1773 
1125 10.5667 10.2006 10.1809 10.3161 10.2748 10.3405 10.183 10.2661 
1130 10.6516 10.2887 10.2672 10.4025 10.364 10.4284 10.2687 10.3537 
1135 10.7385 10.3758 10.3529 10.489 10.4529 10.5171 10.3552 10.4417 
1140 10.8283 10.4622 10.4384 10.5763 10.5429 10.6059 10.4418 10.5302 
1145 10.9182 10.5514 10.5255 10.665 10.6329 10.6956 10.5301 10.6195 
1150 11.0086 10.6399 10.6122 10.7536 10.724 10.7855 10.6175 10.709 
1155 11.1004 10.7307 10.701 10.844 10.8155 10.875 10.7057 10.7987 
1160 11.194 10.8227 10.7906 10.9358 10.9077 10.9651 10.7927 10.8885 
1165 11.2866 10.9149 10.8833 11.0283 11 11.0557 10.8832 10.9796 
1170 11.3784 11.0068 10.974 11.1197 11.0927 11.1477 10.9761 11.0722 
1175 11.4709 11.1007 11.0654 11.2123 11.1864 11.2401 11.0663 11.1643 
1180 11.5623 11.1943 11.1589 11.3052 11.2792 11.3341 11.1559 11.2564 
1185 11.6533 11.2877 11.2511 11.3974 11.3726 11.4261 11.2463 11.3483 
1190 11.7444 11.381 11.3441 11.4898 11.4648 11.5196 11.3366 11.4404 
1195 11.8364 11.4735 11.4394 11.5831 11.5593 11.6129 11.427 11.5331 
1200 11.9293 11.5666 11.5355 11.6772 11.6549 11.7076 11.5182 11.6269 
1205 12.0203 11.663 11.6334 11.7722 11.7488 11.8013 11.6094 11.7199 
1210 12.1139 11.7593 11.7301 11.8678 11.8451 11.8966 11.7007 11.8141 
1215 12.2096 11.8569 11.8274 11.9646 11.9419 11.9918 11.7924 11.9087 
1220 12.3076 11.953 11.9259 12.0622 12.041 12.0862 11.8859 12.0044 
1225 12.4048 12.0494 12.0225 12.1589 12.1386 12.1837 11.9819 12.1014 
1230 12.5018 12.1482 12.1213 12.2571 12.2342 12.2826 12.0786 12.1985 
1235 12.6009 12.2472 12.2182 12.3554 12.3317 12.3799 12.176 12.2959 
1240 12.6992 12.3424 12.316 12.4525 12.4288 12.4788 12.2724 12.3933 
1245 12.8002 12.4387 12.414 12.551 12.5263 12.5788 12.368 12.491 
1250 12.9004 12.5356 12.5129 12.6497 12.6222 12.6776 12.4635 12.5878 
1255 13.002 12.6335 12.6117 12.7491 12.7181 12.7755 12.56 12.6845 
1260 13.1039 12.7315 12.7114 12.8489 12.8161 12.8746 12.6578 12.7828 
1265 13.2038 12.8282 12.8107 12.9475 12.9137 12.9749 12.7561 12.8816 
1270 13.3015 12.925 12.9122 13.0462 13.0103 13.0738 12.8557 12.9799 
1275 13.4013 13.0207 13.0124 13.1448 13.1061 13.1734 12.9552 13.0782 
1280 13.4992 13.1171 13.1118 13.2427 13.2052 13.2747 13.0548 13.1783 
1285 13.6025 13.2147 13.2111 13.3428 13.3066 13.3747 13.1554 13.2789 
1290 13.7044 13.3104 13.3087 13.4411 13.4071 13.4753 13.2563 13.3795 
1295 13.8088 13.4065 13.4055 13.5403 13.5081 13.5756 13.3587 13.4808 
1300 13.9129 13.5041 13.5021 13.6397 13.6105 13.6751 13.4596 13.5818 
1305 14.0147 13.6018 13.6007 13.7391 13.7125 13.7755 13.5613 13.6831 
1310 14.1168 13.7007 13.7005 13.8393 13.8137 13.8755 13.6635 13.7842 
1315 14.2184 13.7998 13.8012 13.9398 13.915 13.9753 13.7656 13.8853 
1320 14.3187 13.8975 13.9022 14.0395 14.0164 14.0767 13.8672 13.9867 
1325 14.4186 13.9951 14.0026 14.1388 14.1194 14.1784 13.9692 14.089 
1330 14.5234 14.0931 14.1014 14.2393 14.2218 14.279 14.0722 14.191 
1335 14.6284 14.1919 14.2017 14.3407 14.324 14.3808 14.1758 14.2935 
1340 14.7365 14.2932 14.3021 14.4439 14.4259 14.4834 14.2748 14.3947 
1345 14.8444 14.3967 14.4034 14.5482 14.5258 14.5853 14.375 14.4954 
1350 14.9548 14.5015 14.5046 14.6536 14.6291 14.6857 14.4778 14.5975 
1355 15.0653 14.6038 14.6063 14.7585 14.7311 14.7883 14.5825 14.7006 
1360 15.1726 14.7074 14.7084 14.8628 14.8339 14.8897 14.6866 14.8034 
1365 15.2803 14.8154 14.811 14.9689 14.9351 14.9921 14.7899 14.9057 
1370 15.3871 14.9175 14.9141 15.0729 15.0416 15.0967 14.894 15.0107 
1375 15.4907 15.0212 15.0173 15.1764 15.1502 15.205 14.9989 15.118 
1380 15.5959 15.1267 15.1233 15.282 15.2569 15.3105 15.1027 15.2234 
1385 15.701 15.2313 15.2265 15.3863 15.3638 15.4174 15.2066 15.3293 
1390 15.8061 15.3366 15.3328 15.4918 15.4711 15.5261 15.3103 15.4358 
1395 15.9171 15.44 15.4397 15.5989 15.5777 15.6329 15.4146 15.5417 
1400 16.0265 15.5445 15.5451 15.7054 15.6885 15.743 15.5209 15.6508 
1405 16.1351 15.6505 15.6486 15.8114 15.7987 15.8554 15.6281 15.7607 
1410 16.2428 15.7554 15.752 15.9167 15.9085 15.9657 15.7344 15.8695 
1415 16.3521 15.8604 15.8561 16.0229 16.0165 16.0764 15.8418 15.9783 
1420 16.4624 15.9686 15.9603 16.1304 16.126 16.1841 15.9451 16.0851 
1425 16.572 16.0758 16.0664 16.238 16.2348 16.2907 16.0477 16.1911 
1430 16.6803 16.1827 16.1716 16.3449 16.3436 16.3997 16.1485 16.2973 
1435 16.7891 16.2893 16.2767 16.4517 16.4513 16.5067 16.2513 16.4031 
1440 16.895 16.3964 16.3821 16.5578 16.5582 16.6156 16.3553 16.5097 
1445 17.0025 16.5052 16.4877 16.6651 16.6644 16.725 16.4599 16.6164 
1450 17.1107 16.6138 16.5958 16.7734 16.7725 16.8352 16.5656 16.7244 
1455 17.218 16.7207 16.7066 16.8818 16.8815 16.9469 16.6722 16.8335 
1460 17.3265 16.8294 16.8177 16.9912 16.9902 17.0596 16.7791 16.943 
1465 17.4358 16.9373 16.928 17.1004 17.101 17.1734 16.8881 17.0542 
1470 17.5458 17.0485 17.0387 17.211 17.2101 17.2869 16.9991 17.1654 
1475 17.6558 17.1602 17.1503 17.3221 17.3199 17.4002 17.1112 17.2771 
1480 17.7707 17.2719 17.265 17.4358 17.4322 17.5122 17.224 17.3895 
1485 17.8848 17.385 17.3785 17.5494 17.5476 17.6277 17.339 17.5048 
1490 17.9979 17.5004 17.4937 17.664 17.661 17.7433 17.4542 17.6195 
1495 18.1106 17.6154 17.6103 17.7788 17.7753 17.8593 17.5684 17.7343 
1500 18.2245 17.7303 17.7278 17.8942 17.8914 17.9755 17.6826 17.8498 
1505 18.3361 17.8407 17.843 18.0066 18.0076 18.0898 17.796 17.9645 
1510 18.4486 17.9507 17.9581 18.1192 18.1244 18.2062 17.9071 18.0792 
1515 18.5629 18.0615 18.0752 18.2332 18.2438 18.3235 18.0193 18.1955 
1520 18.6776 18.1728 18.1882 18.3462 18.3638 18.4403 18.1294 18.3112 
1525 18.7952 18.2865 18.3012 18.4609 18.4801 18.5531 18.2418 18.425 
1530 18.9112 18.402 18.4111 18.5748 18.5945 18.6667 18.3535 18.5382 
1535 19.0267 18.5139 18.5232 18.6879 18.7094 18.7823 18.4631 18.6516 
1540 19.1396 18.6239 18.6364 18.7999 18.8244 18.8988 18.5764 18.7665 
1545 19.2525 18.735 18.7489 18.9121 18.9384 19.0156 18.6876 18.8805 
1550 19.3698 18.8475 18.8641 19.0272 19.0529 19.132 18.8 18.995 
1555 19.4873 18.9608 18.9806 19.1429 19.1664 19.247 18.9122 19.1085 
1560 19.6079 19.0754 19.0972 19.2602 19.2809 19.3621 19.0231 19.2221 
1565 19.7258 19.19 19.2146 19.3768 19.3927 19.4742 19.1293 19.3321 
1570 19.847 19.3052 19.3282 19.4935 19.505 19.5873 19.2352 19.4425 
1575 19.9637 19.4202 19.4428 19.6089 19.6191 19.7014 19.3443 19.5549 
1580 20.0828 19.5345 19.5568 19.7247 19.7314 19.8146 19.4573 19.6678 
1585 20.2014 19.6499 19.6706 19.8406 19.8457 19.9297 19.5693 19.7815 
1590 20.3194 19.7672 19.7857 19.9575 19.962 20.0444 19.6791 19.8952 
1595 20.4397 19.8816 19.8999 20.0737 20.076 20.1597 19.7918 20.0092 
1600 20.5627 19.9967 20.0138 20.1911 20.1894 20.2768 19.9075 20.1246 
1605 20.6871 20.1106 20.1271 20.3083 20.3031 20.3931 20.0217 20.2393 
