time msd[001] ave
1780 8.83611 6.68566 
1785 8.88619 6.72101 
1790 8.93631 6.75647 
1795 8.98661 6.79219 
1800 9.03677 6.82806 
1805 9.08701 6.86409 
1810 9.13729 6.90009 
1815 9.18778 6.93613 
1820 9.2386 6.97214 
1825 9.28925 7.00841 
1830 9.34012 7.04477 
1835 9.39093 7.0813 
1840 9.4416 7.11803 
1845 9.49243 7.15486 
1850 9.54331 7.19185 
1855 9.59451 7.22897 
1860 9.64566 7.26641 
1865 9.69655 7.30413 
1870 9.74762 7.34189 
1875 9.79885 7.37983 
1880 9.85017 7.41788 
1885 9.9017 7.45588 
1890 9.95301 7.49442 
1895 10.0044 7.53304 
1900 10.0562 7.5714 
1905 10.1079 7.60994 
1910 10.1596 7.64883 
1915 10.2112 7.6879 
1920 10.263 7.72687 
1925 10.315 7.76591 
1930 10.3674 7.80488 
1935 10.4203 7.84376 
1940 10.4734 7.88266 
1945 10.5262 7.92178 
1950 10.5791 7.9611 
1955 10.632 8.00056 
1960 10.6848 8.04015 
1965 10.7381 8.07979 
1970 10.7915 8.11952 
1975 10.845 8.15921 
1980 10.899 8.19879 
1985 10.9527 8.23873 
1990 11.0065 8.27881 
1995 11.0602 8.31909 
2000 11.1143 8.35938 
2005 11.1685 8.3998 
2010 11.2228 8.44041 
2015 11.2771 8.48109 
2020 11.3319 8.52168 
2025 11.387 8.56223 
2030 11.442 8.60303 
2035 11.4973 8.6438 
2040 11.5529 8.68448 
2045 11.6083 8.72542 
2050 11.6639 8.76646 
2055 11.7194 8.80773 
2060 11.7751 8.84896 
2065 11.8307 8.89027 
2070 11.8864 8.9317 
2075 11.9419 8.97337 
2080 11.9977 9.01498 
2085 12.0538 9.05652 
2090 12.1102 9.09806 
2095 12.1666 9.13977 
2100 12.2229 9.18182 
2105 12.2794 9.22403 
2110 12.3363 9.26626 
2115 12.3939 9.30814 
2120 12.4516 9.35042 
2125 12.5094 9.3927 
2130 12.5674 9.4351 
2135 12.6258 9.47739 
2140 12.6844 9.51971 
2145 12.743 9.56221 
2150 12.8018 9.60459 
2155 12.8602 9.64755 
2160 12.9185 9.69062 
2165 12.9767 9.73381 
2170 13.035 9.77716 
2175 13.0937 9.82068 
2180 13.1523 9.8646 
2185 13.2113 9.90886 
2190 13.2709 9.95292 
2195 13.3305 9.99726 
2200 13.39 10.042 
2205 13.4499 10.0868 
2210 13.5099 10.1319 
2215 13.5701 10.177 
2220 13.6306 10.2221 
2225 13.6909 10.2676 
2230 13.7515 10.3132 
2235 13.8123 10.359 
2240 13.8728 10.4051 
2245 13.9333 10.4515 
2250 13.994 10.4981 
2255 14.055 10.5448 
2260 14.116 10.5918 
2265 14.1776 10.6385 
2270 14.2394 10.6853 
2275 14.3014 10.7322 
2280 14.3635 10.7793 
2285 14.4255 10.8268 
2290 14.4878 10.8744 
2295 14.5503 10.922 
2300 14.6126 10.9699 
2305 14.6751 11.0177 
2310 14.738 11.0654 
2315 14.8012 11.113 
2320 14.8647 11.1605 
2325 14.9282 11.2081 
2330 14.9919 11.2555 
2335 15.0558 11.303 
2340 15.1197 11.3506 
2345 15.1834 11.3984 
2350 15.2472 11.4461 
2355 15.3114 11.4937 
2360 15.3758 11.5412 
2365 15.4404 11.5886 
2370 15.505 11.6363 
2375 15.5697 11.6839 
2380 15.6347 11.7314 
2385 15.7001 11.7785 
2390 15.7659 11.8255 
2395 15.8316 11.8727 
2400 15.8973 11.9198 
2405 15.963 11.9671 
2410 16.0289 12.0142 
2415 16.095 12.0613 
2420 16.1613 12.1086 
2425 16.2275 12.1562 
2430 16.294 12.2037 
2435 16.3607 12.2513 
2440 16.4275 12.2992 
2445 16.4941 12.3473 
2450 16.5611 12.3954 
2455 16.6283 12.4436 
2460 16.6956 12.4918 
2465 16.7631 12.54 
2470 16.8308 12.5884 
2475 16.8987 12.6368 
2480 16.9668 12.6852 
2485 17.035 12.7339 
2490 17.1033 12.7825 
2495 17.1718 12.8311 
2500 17.2401 12.88 
2505 17.3084 12.9292 
2510 17.3765 12.9788 
2515 17.4446 13.0286 
2520 17.5128 13.0785 
2525 17.581 13.1285 
2530 17.6494 13.1786 
2535 17.7182 13.2287 
2540 17.7873 13.2789 
2545 17.8567 13.3292 
2550 17.9261 13.3798 
2555 17.9956 13.4306 
2560 18.0654 13.4813 
2565 18.1352 13.5324 
2570 18.205 13.5838 
2575 18.2752 13.6353 
2580 18.3454 13.687 
2585 18.4156 13.7391 
2590 18.4859 13.7914 
2595 18.5563 13.8436 
2600 18.6272 13.8954 
2605 18.6981 13.9474 
2610 18.7691 13.9993 
2615 18.84 14.0516 
2620 18.9115 14.1037 
2625 18.9834 14.1556 
2630 19.0556 14.2075 
2635 19.1281 14.2596 
2640 19.2004 14.3118 
2645 19.2729 14.3642 
2650 19.3455 14.4165 
2655 19.4185 14.4686 
2660 19.4917 14.5205 
2665 19.5648 14.5729 
2670 19.6377 14.6255 
2675 19.7111 14.6781 
2680 19.7847 14.7306 
2685 19.8582 14.7831 
2690 19.9323 14.8353 
2695 20.0067 14.8871 
2700 20.0817 14.9386 
2705 20.1569 14.99 
2710 20.2318 15.0421 
2715 20.3073 15.0939 
2720 20.383 15.1459 
2725 20.4583 15.1982 
2730 20.5339 15.2502 
2735 20.6096 15.3023 
2740 20.6853 15.3544 
2745 20.7617 15.4063 
2750 20.838 15.4586 
2755 20.9148 15.5105 
2760 20.9919 15.5626 
2765 21.0688 15.6149 
2770 21.1454 15.6678 
2775 21.2222 15.7206 
2780 21.299 15.7734 
2785 21.3756 15.8266 
2790 21.4528 15.8797 
2795 21.53 15.9332 
2800 21.6073 15.9872 
2805 21.685 16.0408 
2810 21.7624 16.0953 
2815 21.8398 16.15 
2820 21.9181 16.2042 
2825 21.9967 16.2585 
2830 22.0751 16.3133 
2835 22.1539 16.3681 
2840 22.233 16.4232 
2845 22.312 16.4785 
