"Opening": 001u.lammpstrj……
time msd[001] ave
3085 60.8208 60.8208 
3090 61.012 61.012 
3095 61.2035 61.2035 
3100 61.3954 61.3954 
3105 61.5875 61.5875 
3110 61.78 61.78 
3115 61.9728 61.9728 
3120 62.1659 62.1659 
3125 62.3592 62.3592 
3130 62.5528 62.5528 
3135 62.7466 62.7466 
3140 62.9407 62.9407 
3145 63.1351 63.1351 
3150 63.3296 63.3296 
3155 63.5245 63.5245 
3160 63.7196 63.7196 
3165 63.9149 63.9149 
3170 64.1104 64.1104 
3175 64.306 64.306 
3180 64.5018 64.5018 
3185 64.6977 64.6977 
3190 64.8937 64.8937 
3195 65.0898 65.0898 
3200 65.2859 65.2859 
3205 65.4823 65.4823 
3210 65.6787 65.6787 
3215 65.8753 65.8753 
3220 66.072 66.072 
3225 66.2689 66.2689 
3230 66.466 66.466 
3235 66.6633 66.6633 
3240 66.8608 66.8608 
3245 67.0585 67.0585 
3250 67.2564 67.2564 
3255 67.4546 67.4546 
3260 67.6531 67.6531 
3265 67.8519 67.8519 
3270 68.0511 68.0511 
3275 68.2506 68.2506 
3280 68.4504 68.4504 
3285 68.6505 68.6505 
3290 68.851 68.851 
3295 69.0517 69.0517 
3300 69.2528 69.2528 
3305 69.4541 69.4541 
3310 69.6556 69.6556 
3315 69.8573 69.8573 
3320 70.0591 70.0591 
3325 70.2611 70.2611 
3330 70.4633 70.4633 
3335 70.6658 70.6658 
3340 70.8685 70.8685 
3345 71.0714 71.0714 
3350 71.2747 71.2747 
3355 71.4783 71.4783 
3360 71.6822 71.6822 
3365 71.8864 71.8864 
3370 72.091 72.091 
3375 72.296 72.296 
3380 72.5013 72.5013 
3385 72.707 72.707 
3390 72.913 72.913 
3395 73.1193 73.1193 
3400 73.326 73.326 
3405 73.533 73.533 
3410 73.7404 73.7404 
3415 73.9481 73.9481 
3420 74.1562 74.1562 
3425 74.3647 74.3647 
3430 74.5735 74.5735 
3435 74.7826 74.7826 
3440 74.9921 74.9921 
3445 75.2018 75.2018 
3450 75.4118 75.4118 
3455 75.6221 75.6221 
3460 75.8327 75.8327 
3465 76.0434 76.0434 
3470 76.2544 76.2544 
3475 76.4656 76.4656 
3480 76.677 76.677 
3485 76.8887 76.8887 
3490 77.1005 77.1005 
3495 77.3126 77.3126 
3500 77.5248 77.5248 
