time msd[001] ave
2135 31.6987 27.4014 
2140 31.8493 27.5294 
2145 32 27.6576 
2150 32.1512 27.7858 
2155 32.3013 27.9154 
2160 32.4524 28.0447 
2165 32.6036 28.1743 
2170 32.7551 28.3044 
2175 32.9069 28.4349 
2180 33.0584 28.5663 
2185 33.2106 28.6981 
2190 33.3639 28.8294 
2195 33.5172 28.9613 
2200 33.6704 29.0939 
2205 33.8245 29.2263 
2210 33.9785 29.3593 
2215 34.1333 29.4921 
2220 34.2889 29.6247 
2225 34.4448 29.7576 
2230 34.6013 29.8907 
2235 34.7581 30.0242 
2240 34.9146 30.1586 
2245 35.0713 30.2937 
2250 35.2283 30.4295 
2255 35.386 30.5654 
2260 35.5436 30.7019 
2265 35.7017 30.8384 
2270 35.8596 30.9754 
2275 36.0177 31.1125 
2280 36.1754 31.251 
2285 36.3331 31.3902 
2290 36.4907 31.5302 
2295 36.6487 31.6705 
2300 36.8065 31.8111 
2305 36.965 31.9516 
2310 37.1247 32.0918 
2315 37.2853 32.2319 
2320 37.4472 32.3716 
2325 37.6089 32.5122 
2330 37.771 32.6526 
2335 37.9346 32.7925 
2340 38.0976 32.9334 
2345 38.2596 33.0755 
2350 38.422 33.2179 
2355 38.5848 33.3604 
2360 38.7481 33.5027 
2365 38.9122 33.6447 
2370 39.0762 33.7872 
2375 39.2406 33.9299 
2380 39.406 34.0721 
2385 39.5729 34.2134 
2390 39.7407 34.3544 
2395 39.9085 34.4958 
2400 40.0768 34.6374 
2405 40.2456 34.7792 
2410 40.4145 34.9212 
2415 40.5837 35.0636 
2420 40.7523 35.2071 
2425 40.9212 35.3508 
2430 41.0908 35.4941 
2435 41.2608 35.6376 
2440 41.4308 35.7819 
2445 41.6001 35.9272 
2450 41.7709 36.072 
2455 41.942 36.2168 
2460 42.1136 36.3616 
2465 42.2854 36.5067 
2470 42.4571 36.6521 
2475 42.6303 36.797 
2480 42.8037 36.9421 
2485 42.977 37.0879 
2490 43.1507 37.234 
2495 43.325 37.3798 
2500 43.4985 37.5268 
2505 43.6713 37.6749 
2510 43.8432 37.8243 
2515 44.0158 37.9737 
2520 44.1887 38.1236 
2525 44.3615 38.274 
2530 44.5344 38.4248 
2535 44.7088 38.575 
2540 44.8832 38.7257 
2545 45.0577 38.8769 
2550 45.2328 39.0282 
2555 45.4084 39.1799 
2560 45.5854 39.3312 
2565 45.7618 39.4835 
2570 45.938 39.6365 
2575 46.1146 39.7899 
2580 46.2921 39.9433 
2585 46.47 40.0973 
2590 46.6472 40.2526 
2595 46.8245 40.4084 
2600 47.0021 40.5646 
2605 47.1801 40.721 
2610 47.3585 40.8776 
2615 47.5371 41.0348 
2620 47.7166 41.1918 
2625 47.8979 41.3479 
2630 48.0805 41.5035 
2635 48.2634 41.6592 
2640 48.4462 41.8155 
2645 48.6299 41.9714 
2650 48.8143 42.1273 
2655 48.9992 42.2831 
2660 49.1846 42.4391 
2665 49.3686 42.5967 
2670 49.5516 42.7555 
2675 49.7364 42.9133 
2680 49.922 43.071 
2685 50.107 43.2296 
2690 50.2935 43.3871 
2695 50.4809 43.5441 
2700 50.6697 43.7 
2705 50.8594 43.8556 
2710 51.0489 44.0118 
2715 51.2386 44.1681 
2720 51.4282 44.3249 
2725 51.6174 44.4824 
2730 51.8054 44.641 
2735 51.9938 44.7997 
2740 52.1819 44.9592 
2745 52.3707 45.1186 
2750 52.559 45.279 
2755 52.7481 45.439 
2760 52.9375 45.5995 
2765 53.1268 45.7608 
2770 53.3153 45.9231 
2775 53.5039 46.0858 
2780 53.6931 46.2483 
2785 53.8824 46.4111 
2790 54.0728 46.5733 
2795 54.2644 46.7353 
2800 54.4556 46.8983 
2805 54.6479 47.0604 
2810 54.8396 47.2235 
2815 55.0311 47.3872 
2820 55.2243 47.5501 
2825 55.418 47.7129 
2830 55.611 47.8767 
2835 55.804 48.041 
2840 55.997 48.2055 
2845 56.1901 48.3704 
2850 56.3846 48.5346 
2855 56.5771 48.7011 
2860 56.7701 48.8674 
2865 56.9632 49.0342 
2870 57.1559 49.202 
2875 57.3501 49.3689 
2880 57.5443 49.5362 
2885 57.7386 49.7037 
2890 57.9324 49.8722 
2895 58.1288 50.039 
2900 58.3269 50.2048 
2905 58.5251 50.3708 
2910 58.723 50.5374 
2915 58.9211 50.7042 
2920 59.1195 50.8717 
2925 59.3184 51.0393 
2930 59.5187 51.2061 
2935 59.7189 51.3732 
2940 59.9197 51.5402 
2945 60.1213 51.7068 
2950 60.3247 51.8722 
2955 60.5279 52.0382 
2960 60.7322 52.2034 
2965 60.9358 52.3694 
2970 61.1414 52.5335 
2975 61.3485 52.6966 
2980 61.5559 52.8596 
2985 61.7658 53.0211 
2990 61.9771 53.1816 
2995 62.1887 53.3419 
3000 62.4006 53.5027 
3005 62.6117 53.6646 
3010 62.8252 53.825 
3015 63.0392 53.9853 
3020 63.252 54.1475 
3025 63.4624 54.3123 
3030 63.6748 54.4756 
3035 63.8883 54.6385 
3040 64.1034 54.8004 
3045 64.319 54.9627 
3050 64.534 55.1262 
3055 64.7487 55.2905 
3060 64.9635 55.4555 
3065 65.1776 55.6214 
3070 65.3923 55.7874 
3075 65.61 55.9514 
3080 65.8292 56.1149 
3085 66.0476 56.2796 
3090 66.267 56.4445 
3095 66.4843 56.6117 
3100 66.6998 56.7811 
3105 66.9139 56.9526 
3110 67.1304 57.1226 
3115 67.3473 57.2925 
3120 67.5624 57.4645 
3125 67.7789 57.6355 
3130 67.9962 57.8063 
3135 68.2137 57.9778 
3140 68.4321 58.1491 
3145 68.6486 58.3224 
3150 68.8649 58.496 
3155 69.082 58.669 
3160 69.299 58.8428 
3165 69.5166 59.0165 
3170 69.7329 59.1912 
3175 69.9477 59.3673 
3180 70.1627 59.5439 
3185 70.3763 59.7217 
3190 70.592 59.898 
3195 70.8081 60.0742 
3200 71.0261 60.2489 
3205 71.2463 60.4219 
3210 71.4655 60.5957 
3215 71.6847 60.77 
3220 71.9021 60.9462 
3225 72.1213 61.1216 
3230 72.3407 61.2968 
3235 72.5617 61.4709 
3240 72.7845 61.6435 
3245 73.0098 61.8143 
3250 73.2373 61.9837 
3255 73.4665 62.1521 
3260 73.697 62.3201 
3265 73.9311 62.4855 
3270 74.1658 62.6507 
3275 74.4033 62.8139 
3280 74.6423 62.9767 
3285 74.8803 63.1409 
3290 75.1176 63.3063 
3295 75.3565 63.4708 
3300 75.5975 63.634 
3305 75.8372 63.7988 
3310 76.0797 63.9618 
3315 76.323 64.1241 
3320 76.5688 64.2845 
3325 76.8152 64.4449 
3330 77.0624 64.605 
3335 77.3092 64.7657 
3340 77.5576 64.9257 
3345 77.8059 65.0861 
3350 78.0561 65.2454 
3355 78.3073 65.4047 
3360 78.5574 65.5656 
3365 78.8073 65.7273 
3370 79.0577 65.8894 
3375 79.3078 66.0525 
3380 79.5601 66.2146 
3385 79.8105 66.3794 
3390 80.059 66.5466 
3395 80.3068 66.7153 
3400 80.5549 66.884 
3405 80.8036 67.0529 
3410 81.052 67.2228 
3415 81.3002 67.3938 
3420 81.5511 67.5628 
3425 81.8004 67.7342 
3430 82.048 67.9074 
3435 82.296 68.0806 
3440 82.5431 68.2552 
3445 82.7893 68.4313 
3450 83.0392 68.605 
3455 83.2908 68.7771 
3460 83.5438 68.9485 
3465 83.7944 69.1223 
3470 84.0429 69.2984 
3475 84.2922 69.4746 
3480 84.5407 69.6524 
3485 84.787 69.8325 
3490 85.0322 70.0138 
3495 85.2773 70.1957 
3500 85.5226 70.3778 
