Analyse from dana.cpp: 
Num_files = 3; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 200 * 10000 (Num_frames * steps_frame )
time	Re[Fave][P000]	Re[F001][P000]	Re[F002][P000]	Re[F003][P000]	
aot	0 	0 	0 	0 	
14100	4.27806 	4.27806 	4.27806 	4.27806 	
14200	4.33063 	4.33063 	4.33063 	4.33063 	
14300	4.42204 	4.42204 	4.42204 	4.42204 	
14400	3.97053 	3.97053 	3.97053 	3.97053 	
14500	3.94467 	3.94467 	3.94467 	3.94467 	
14600	3.92269 	3.92269 	3.92269 	3.92269 	
14700	3.93071 	3.93071 	3.93071 	3.93071 	
14800	3.69522 	3.69522 	3.69522 	3.69522 	
14900	3.15747 	3.15747 	3.15747 	3.15747 	
15000	3.1225 	3.1225 	3.1225 	3.1225 	
15100	3.081 	3.081 	3.081 	3.081 	
15200	3.46387 	3.46387 	3.46387 	3.46387 	
15300	3.87903 	3.87903 	3.87903 	3.87903 	
15400	4.08332 	4.08332 	4.08332 	4.08332 	
15500	4.25702 	4.25702 	4.25702 	4.25702 	
15600	5.08188 	5.08188 	5.08188 	5.08188 	
15700	5.39246 	5.39246 	5.39246 	5.39246 	
15800	5.97436 	5.97436 	5.97436 	5.97436 	
15900	6.445 	6.445 	6.445 	6.445 	
16000	7.11666 	7.11666 	7.11666 	7.11666 	
16100	7.34418 	7.34418 	7.34418 	7.34418 	
16200	7.67727 	7.67727 	7.67727 	7.67727 	
16300	8.25029 	8.25029 	8.25029 	8.25029 	
16400	8.91986 	8.91986 	8.91986 	8.91986 	
16500	8.86139 	8.86139 	8.86139 	8.86139 	
16600	9.19219 	9.19219 	9.19219 	9.19219 	
16700	9.71469 	9.71469 	9.71469 	9.71469 	
16800	10.1683 	10.1683 	10.1683 	10.1683 	
16900	9.94096 	9.94096 	9.94096 	9.94096 	
17000	9.6935 	9.6935 	9.6935 	9.6935 	
17100	9.68669 	9.68669 	9.68669 	9.68669 	
17200	9.55826 	9.55826 	9.55826 	9.55826 	
17300	9.67669 	9.67669 	9.67669 	9.67669 	
17400	9.89832 	9.89832 	9.89832 	9.89832 	
17500	9.75496 	9.75496 	9.75496 	9.75496 	
17600	10.1948 	10.1948 	10.1948 	10.1948 	
17700	9.90012 	9.90012 	9.90012 	9.90012 	
17800	9.47077 	9.47077 	9.47077 	9.47077 	
17900	9.66432 	9.66432 	9.66432 	9.66432 	
18000	9.45562 	9.45562 	9.45562 	9.45562 	
18100	9.24109 	9.24109 	9.24109 	9.24109 	
18200	8.97463 	8.97463 	8.97463 	8.97463 	
18300	8.95 	8.95 	8.95 	8.95 	
18400	7.95298 	7.95298 	7.95298 	7.95298 	
18500	7.88393 	7.88393 	7.88393 	7.88393 	
18600	8.01624 	8.01624 	8.01624 	8.01624 	
18700	8.14613 	8.14613 	8.14613 	8.14613 	
18800	8.10602 	8.10602 	8.10602 	8.10602 	
18900	7.92827 	7.92827 	7.92827 	7.92827 	
19000	8.02166 	8.02166 	8.02166 	8.02166 	
19100	8.02145 	8.02145 	8.02145 	8.02145 	
19200	7.93748 	7.93748 	7.93748 	7.93748 	
19300	8.13888 	8.13888 	8.13888 	8.13888 	
19400	7.5097 	7.5097 	7.5097 	7.5097 	
19500	7.67022 	7.67022 	7.67022 	7.67022 	
19600	6.85968 	6.85968 	6.85968 	6.85968 	
19700	6.13534 	6.13534 	6.13534 	6.13534 	
19800	5.75686 	5.75686 	5.75686 	5.75686 	
19900	4.98152 	4.98152 	4.98152 	4.98152 	
20000	4.49274 	4.49274 	4.49274 	4.49274 	
