Analyse from dana.cpp: 
Num_files = 3; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 200 * 10000 (Num_frames * steps_frame )
time	Ang[Fave][P000]	Ang[F001][P000]	Ang[F002][P000]	Ang[F003][P000]	
aot	0 	0 	0 	0 	
16600	-1.47288 	-1.47288 	-1.47288 	-1.47288 	
16700	-1.17262 	-1.17262 	-1.17262 	-1.17262 	
16800	-2.21237 	-2.21237 	-2.21237 	-2.21237 	
16900	-2.08781 	-2.08781 	-2.08781 	-2.08781 	
17000	-2.40081 	-2.40081 	-2.40081 	-2.40081 	
17100	-4.11234 	-4.11234 	-4.11234 	-4.11234 	
17200	-0.675516 	-0.675516 	-0.675516 	-0.675516 	
17300	-4.12248 	-4.12248 	-4.12248 	-4.12248 	
17400	-1.6532 	-1.6532 	-1.6532 	-1.6532 	
17500	-2.66022 	-2.66022 	-2.66022 	-2.66022 	
17600	-1.50115 	-1.50115 	-1.50115 	-1.50115 	
17700	-3.53078 	-3.53078 	-3.53078 	-3.53078 	
17800	-1.51152 	-1.51152 	-1.51152 	-1.51152 	
17900	-0.90169 	-0.90169 	-0.90169 	-0.90169 	
18000	-2.65047 	-2.65047 	-2.65047 	-2.65047 	
18100	-1.89475 	-1.89475 	-1.89475 	-1.89475 	
18200	-3.91281 	-3.91281 	-3.91281 	-3.91281 	
18300	-3.9378 	-3.9378 	-3.9378 	-3.9378 	
18400	-1.31801 	-1.31801 	-1.31801 	-1.31801 	
18500	-3.04089 	-3.04089 	-3.04089 	-3.04089 	
18600	-0.196288 	-0.196288 	-0.196288 	-0.196288 	
18700	-2.75674 	-2.75674 	-2.75674 	-2.75674 	
18800	-1.27009 	-1.27009 	-1.27009 	-1.27009 	
18900	-2.35333 	-2.35333 	-2.35333 	-2.35333 	
19000	-0.776014 	-0.776014 	-0.776014 	-0.776014 	
19100	-0.89294 	-0.89294 	-0.89294 	-0.89294 	
19200	-1.39799 	-1.39799 	-1.39799 	-1.39799 	
19300	-0.709195 	-0.709195 	-0.709195 	-0.709195 	
19400	0.157995 	0.157995 	0.157995 	0.157995 	
19500	-0.801657 	-0.801657 	-0.801657 	-0.801657 	
19600	0.982687 	0.982687 	0.982687 	0.982687 	
19700	-0.159454 	-0.159454 	-0.159454 	-0.159454 	
19800	3.51869 	3.51869 	3.51869 	3.51869 	
19900	0.999757 	0.999757 	0.999757 	0.999757 	
20000	0.387272 	0.387272 	0.387272 	0.387272 	
